Sales_Tran_Seq_Num,Member_Account_Seq_Num,Article_Seq_Num,Article_Desc
54,13,22,Chicken
55,87,0,Banana
55,87,16,Apple
55,87,25,Penne
55,87,27,Mushroom
56,54,4,Olives
56,54,10,Ham
56,54,11,Prosciutto
56,54,12,Pizza Kit
56,54,14,Parmesan
56,54,22,Chicken
56,54,23,Croutons
56,54,24,Lettuce
57,77,0,Banana
57,77,16,Apple
57,77,1,Onion
57,77,3,Corn
57,77,8,Taco Salsa
57,77,9,Minced Meat
57,77,28,Squid
57,77,29,Crab stick
58,39,0,Banana
58,39,5,Pineapple
58,39,10,Ham
58,39,13,Pizza Cheese
59,39,0,Banana
60,97,0,Banana
60,97,4,Olives
60,97,19,Feta
60,97,20,Ruccola
60,97,21,Tomato
61,29,20,Ruccola
62,53,0,Banana
62,53,16,Apple
62,53,22,Chicken
63,87,4,Olives
63,87,19,Feta
63,87,20,Ruccola
64,27,0,Banana
64,27,16,Apple
67,34,0,Banana
67,34,5,Pineapple
67,34,12,Pizza Kit
68,30,0,Banana
69,46,0,Banana
70,79,0,Banana
70,79,5,Pineapple
70,79,13,Pizza Cheese
70,79,15,Mozarella
71,51,0,Banana
73,84,0,Banana
73,84,1,Onion
73,84,3,Corn
73,84,18,Taco Tubs
73,84,8,Taco Salsa
73,84,9,Minced Meat
73,84,28,Squid
73,84,30,Shrimp
75,56,0,Banana
75,56,4,Olives
75,56,10,Ham
75,56,14,Parmesan
75,56,24,Lettuce
76,45,0,Banana
76,45,16,Apple
76,45,5,Pineapple
76,45,12,Pizza Kit
76,45,13,Pizza Cheese
76,45,22,Chicken
76,45,24,Lettuce
76,45,28,Squid
77,48,4,Olives
77,48,10,Ham
77,48,12,Pizza Kit
77,48,14,Parmesan
78,19,0,Banana
79,28,0,Banana
79,28,22,Chicken
79,28,23,Croutons
79,28,24,Lettuce
81,71,0,Banana
81,71,1,Onion
81,71,3,Corn
81,71,17,Taco Tortilla
81,71,9,Minced Meat
81,71,25,Penne
82,33,0,Banana
82,33,22,Chicken
82,33,24,Lettuce
82,33,25,Penne
82,33,26,Entrecote
82,33,27,Mushroom
83,16,0,Banana
83,16,4,Olives
83,16,21,Tomato
84,5,0,Banana
84,5,3,Corn
84,5,6,Taco Spice Mix
84,5,17,Taco Tortilla
84,5,9,Minced Meat
84,5,22,Chicken
84,5,23,Croutons
85,64,0,Banana
86,91,0,Banana
86,91,5,Pineapple
86,91,12,Pizza Kit
86,91,13,Pizza Cheese
87,36,0,Banana
87,36,16,Apple
88,45,0,Banana
89,14,0,Banana
90,90,0,Banana
90,90,28,Squid
90,90,29,Crab stick
91,9,0,Banana
91,9,5,Pineapple
91,9,10,Ham
91,9,13,Pizza Cheese
91,9,15,Mozarella
91,9,1,Onion
91,9,3,Corn
91,9,6,Taco Spice Mix
91,9,17,Taco Tortilla
91,9,8,Taco Salsa
91,9,9,Minced Meat
91,9,22,Chicken
91,9,23,Croutons
92,18,0,Banana
93,25,0,Banana
94,53,0,Banana
94,53,4,Olives
94,53,19,Feta
95,34,0,Banana
96,85,0,Banana
97,72,0,Banana
97,72,30,Shrimp
99,10,0,Banana
99,10,22,Chicken
99,10,23,Croutons
100,59,0,Banana
100,59,16,Apple
100,59,21,Tomato
101,73,0,Banana
102,49,0,Banana
102,49,3,Corn
102,49,8,Taco Salsa
102,49,9,Minced Meat
103,78,0,Banana
103,78,5,Pineapple
103,78,10,Ham
103,78,12,Pizza Kit
103,78,13,Pizza Cheese
103,78,25,Penne
103,78,27,Mushroom
104,34,0,Banana
104,34,16,Apple
104,34,10,Ham
104,34,11,Prosciutto
104,34,12,Pizza Kit
104,34,14,Parmesan
104,34,15,Mozarella
104,34,4,Olives
104,34,19,Feta
104,34,20,Ruccola
104,34,21,Tomato
105,35,0,Banana
105,35,10,Ham
105,35,11,Prosciutto
105,35,14,Parmesan
105,35,15,Mozarella
105,35,22,Chicken
105,35,23,Croutons
106,51,0,Banana
107,48,0,Banana
107,48,4,Olives
107,48,20,Ruccola
107,48,21,Tomato
108,7,0,Banana
108,7,5,Pineapple
108,7,10,Ham
108,7,13,Pizza Cheese
109,72,0,Banana
109,72,5,Pineapple
109,72,10,Ham
109,72,12,Pizza Kit
109,72,13,Pizza Cheese
109,72,1,Onion
109,72,3,Corn
109,72,6,Taco Spice Mix
109,72,7,Taco Shell
109,72,8,Taco Salsa
109,72,9,Minced Meat
110,13,1,Onion
110,13,3,Corn
110,13,6,Taco Spice Mix
110,13,17,Taco Tortilla
112,35,0,Banana
113,97,0,Banana
113,97,10,Ham
113,97,12,Pizza Kit
113,97,14,Parmesan
113,97,15,Mozarella
114,41,0,Banana
114,41,11,Prosciutto
114,41,25,Penne
114,41,26,Entrecote
114,41,27,Mushroom
115,40,0,Banana
115,40,16,Apple
115,40,4,Olives
116,43,0,Banana
116,43,4,Olives
116,43,11,Prosciutto
116,43,12,Pizza Kit
116,43,14,Parmesan
117,4,22,Chicken
117,4,23,Croutons
117,4,24,Lettuce
118,35,0,Banana
118,35,10,Ham
118,35,11,Prosciutto
118,35,12,Pizza Kit
118,35,14,Parmesan
119,66,0,Banana
119,66,26,Entrecote
119,66,27,Mushroom
120,67,1,Onion
120,67,3,Corn
120,67,6,Taco Spice Mix
120,67,17,Taco Tortilla
120,67,8,Taco Salsa
120,67,9,Minced Meat
120,67,4,Olives
120,67,20,Ruccola
120,67,21,Tomato
120,67,28,Squid
120,67,29,Crab stick
121,25,0,Banana
121,25,16,Apple
121,25,25,Penne
121,25,27,Mushroom
122,38,0,Banana
122,38,3,Corn
122,38,7,Taco Shell
122,38,8,Taco Salsa
123,58,0,Banana
124,83,0,Banana
124,83,16,Apple
125,19,0,Banana
126,14,0,Banana
126,14,4,Olives
126,14,19,Feta
126,14,20,Ruccola
126,14,21,Tomato
127,12,0,Banana
128,89,0,Banana
129,42,0,Banana
130,9,0,Banana
130,9,4,Olives
130,9,20,Ruccola
130,9,21,Tomato
130,9,26,Entrecote
130,9,27,Mushroom
131,77,0,Banana
131,77,16,Apple
131,77,25,Penne
131,77,26,Entrecote
131,77,27,Mushroom
132,88,5,Pineapple
132,88,10,Ham
132,88,12,Pizza Kit
132,88,13,Pizza Cheese
133,58,0,Banana
133,58,4,Olives
133,58,20,Ruccola
134,30,0,Banana
134,30,19,Feta
134,30,20,Ruccola
134,30,21,Tomato
134,30,26,Entrecote
134,30,27,Mushroom
135,71,0,Banana
135,71,16,Apple
135,71,5,Pineapple
135,71,10,Ham
135,71,13,Pizza Cheese
136,32,1,Onion
136,32,3,Corn
136,32,6,Taco Spice Mix
136,32,18,Taco Tubs
136,32,8,Taco Salsa
136,32,9,Minced Meat
137,3,28,Squid
137,3,29,Crab stick
139,89,0,Banana
139,89,1,Onion
139,89,3,Corn
139,89,6,Taco Spice Mix
139,89,17,Taco Tortilla
139,89,8,Taco Salsa
139,89,9,Minced Meat
141,76,0,Banana
141,76,4,Olives
141,76,12,Pizza Kit
141,76,14,Parmesan
141,76,15,Mozarella
141,76,19,Feta
141,76,20,Ruccola
142,73,0,Banana
143,98,0,Banana
144,60,0,Banana
144,60,16,Apple
145,30,0,Banana
146,54,0,Banana
147,34,0,Banana
147,34,22,Chicken
147,34,24,Lettuce
147,34,25,Penne
147,34,26,Entrecote
148,93,0,Banana
149,30,0,Banana
149,30,28,Squid
149,30,29,Crab stick
149,30,30,Shrimp
150,37,0,Banana
150,37,4,Olives
150,37,10,Ham
150,37,11,Prosciutto
150,37,12,Pizza Kit
150,37,14,Parmesan
151,43,0,Banana
152,93,0,Banana
152,93,25,Penne
152,93,26,Entrecote
153,37,0,Banana
154,3,0,Banana
154,3,16,Apple
155,91,10,Ham
155,91,12,Pizza Kit
155,91,13,Pizza Cheese
156,24,0,Banana
156,24,22,Chicken
156,24,24,Lettuce
156,24,26,Entrecote
157,74,0,Banana
157,74,25,Penne
157,74,26,Entrecote
157,74,27,Mushroom
158,30,25,Penne
158,30,26,Entrecote
159,7,0,Banana
161,3,0,Banana
161,3,16,Apple
162,86,0,Banana
164,40,0,Banana
164,40,6,Taco Spice Mix
164,40,18,Taco Tubs
165,38,5,Pineapple
165,38,12,Pizza Kit
165,38,13,Pizza Cheese
166,62,0,Banana
167,93,0,Banana
167,93,5,Pineapple
167,93,13,Pizza Cheese
167,93,30,Shrimp
168,6,0,Banana
168,6,1,Onion
168,6,3,Corn
168,6,6,Taco Spice Mix
168,6,8,Taco Salsa
168,6,9,Minced Meat
168,6,25,Penne
168,6,26,Entrecote
168,6,27,Mushroom
169,93,25,Penne
169,93,26,Entrecote
171,34,0,Banana
172,54,0,Banana
173,32,0,Banana
173,32,4,Olives
173,32,19,Feta
173,32,21,Tomato
174,82,0,Banana
174,82,22,Chicken
174,82,24,Lettuce
174,82,25,Penne
174,82,26,Entrecote
174,82,27,Mushroom
175,55,0,Banana
176,8,0,Banana
177,48,0,Banana
177,48,23,Croutons
177,48,24,Lettuce
178,70,0,Banana
178,70,16,Apple
179,31,0,Banana
179,31,3,Corn
179,31,17,Taco Tortilla
179,31,8,Taco Salsa
179,31,9,Minced Meat
179,31,22,Chicken
179,31,23,Croutons
180,1,0,Banana
180,1,5,Pineapple
180,1,10,Ham
180,1,12,Pizza Kit
180,1,13,Pizza Cheese
181,96,0,Banana
182,84,0,Banana
183,1,0,Banana
183,1,16,Apple
183,1,23,Croutons
184,90,0,Banana
184,90,5,Pineapple
184,90,10,Ham
184,90,28,Squid
184,90,30,Shrimp
185,51,4,Olives
185,51,19,Feta
185,51,20,Ruccola
185,51,21,Tomato
186,13,0,Banana
187,35,0,Banana
188,97,0,Banana
189,8,0,Banana
189,8,16,Apple
190,56,0,Banana
191,67,0,Banana
192,93,0,Banana
193,91,5,Pineapple
193,91,10,Ham
193,91,22,Chicken
193,91,24,Lettuce
194,4,22,Chicken
194,4,23,Croutons
194,4,24,Lettuce
194,4,25,Penne
194,4,26,Entrecote
195,80,0,Banana
195,80,25,Penne
196,78,28,Squid
198,28,0,Banana
198,28,5,Pineapple
198,28,12,Pizza Kit
198,28,13,Pizza Cheese
198,28,1,Onion
198,28,3,Corn
198,28,6,Taco Spice Mix
198,28,7,Taco Shell
198,28,8,Taco Salsa
198,28,23,Croutons
199,87,0,Banana
199,87,5,Pineapple
199,87,13,Pizza Cheese
199,87,3,Corn
199,87,17,Taco Tortilla
199,87,8,Taco Salsa
199,87,9,Minced Meat
200,69,0,Banana
200,69,4,Olives
200,69,19,Feta
201,85,21,Tomato
202,58,0,Banana
203,48,0,Banana
203,48,26,Entrecote
203,48,27,Mushroom
204,88,0,Banana
204,88,4,Olives
204,88,10,Ham
204,88,11,Prosciutto
204,88,12,Pizza Kit
204,88,14,Parmesan
204,88,15,Mozarella
204,88,22,Chicken
204,88,24,Lettuce
205,6,0,Banana
205,6,5,Pineapple
205,6,10,Ham
205,6,13,Pizza Cheese
206,85,0,Banana
206,85,22,Chicken
206,85,24,Lettuce
207,7,0,Banana
207,7,22,Chicken
207,7,23,Croutons
207,7,24,Lettuce
207,7,28,Squid
207,7,29,Crab stick
207,7,30,Shrimp
208,99,0,Banana
208,99,4,Olives
208,99,19,Feta
208,99,21,Tomato
209,56,0,Banana
209,56,10,Ham
209,56,13,Pizza Cheese
209,56,23,Croutons
210,90,5,Pineapple
210,90,12,Pizza Kit
210,90,22,Chicken
210,90,23,Croutons
210,90,29,Crab stick
210,90,30,Shrimp
211,81,0,Banana
212,89,0,Banana
212,89,16,Apple
212,89,4,Olives
212,89,12,Pizza Kit
212,89,14,Parmesan
214,49,0,Banana
214,49,23,Croutons
214,49,24,Lettuce
216,94,0,Banana
216,94,23,Croutons
217,25,0,Banana
217,25,1,Onion
217,25,3,Corn
217,25,6,Taco Spice Mix
217,25,17,Taco Tortilla
217,25,8,Taco Salsa
217,25,4,Olives
217,25,21,Tomato
217,25,28,Squid
217,25,29,Crab stick
218,13,0,Banana
219,63,1,Onion
219,63,6,Taco Spice Mix
219,63,8,Taco Salsa
219,63,9,Minced Meat
220,5,0,Banana
220,5,5,Pineapple
220,5,10,Ham
220,5,12,Pizza Kit
220,5,13,Pizza Cheese
221,96,0,Banana
221,96,28,Squid
222,4,0,Banana
222,4,3,Corn
222,4,6,Taco Spice Mix
222,4,7,Taco Shell
222,4,8,Taco Salsa
222,4,9,Minced Meat
222,4,20,Ruccola
222,4,21,Tomato
223,33,19,Feta
224,57,4,Olives
224,57,20,Ruccola
225,11,0,Banana
226,8,0,Banana
226,8,16,Apple
227,74,0,Banana
227,74,16,Apple
227,74,11,Prosciutto
227,74,14,Parmesan
227,74,3,Corn
227,74,6,Taco Spice Mix
227,74,7,Taco Shell
227,74,8,Taco Salsa
227,74,9,Minced Meat
228,32,0,Banana
228,32,10,Ham
228,32,12,Pizza Kit
228,32,13,Pizza Cheese
228,32,4,Olives
228,32,19,Feta
229,61,0,Banana
229,61,4,Olives
229,61,20,Ruccola
229,61,21,Tomato
230,28,0,Banana
230,28,16,Apple
230,28,23,Croutons
231,75,22,Chicken
231,75,23,Croutons
232,65,0,Banana
233,71,0,Banana
233,71,5,Pineapple
233,71,10,Ham
233,71,12,Pizza Kit
234,28,0,Banana
234,28,16,Apple
235,26,0,Banana
236,65,0,Banana
238,49,0,Banana
240,69,0,Banana
241,84,0,Banana
242,81,10,Ham
243,1,0,Banana
244,97,0,Banana
245,45,0,Banana
246,92,0,Banana
246,92,23,Croutons
247,90,0,Banana
247,90,10,Ham
247,90,11,Prosciutto
247,90,12,Pizza Kit
247,90,14,Parmesan
247,90,15,Mozarella
247,90,1,Onion
247,90,6,Taco Spice Mix
247,90,18,Taco Tubs
247,90,8,Taco Salsa
247,90,9,Minced Meat
248,51,0,Banana
249,47,0,Banana
251,79,0,Banana
251,79,23,Croutons
252,46,0,Banana
252,46,16,Apple
252,46,5,Pineapple
252,46,10,Ham
252,46,13,Pizza Cheese
252,46,1,Onion
252,46,3,Corn
252,46,6,Taco Spice Mix
252,46,18,Taco Tubs
252,46,8,Taco Salsa
252,46,9,Minced Meat
252,46,25,Penne
252,46,26,Entrecote
252,46,27,Mushroom
253,50,0,Banana
253,50,3,Corn
253,50,6,Taco Spice Mix
253,50,7,Taco Shell
253,50,8,Taco Salsa
253,50,9,Minced Meat
253,50,25,Penne
253,50,27,Mushroom
254,82,0,Banana
255,48,4,Olives
255,48,12,Pizza Kit
256,75,0,Banana
257,54,0,Banana
257,54,1,Onion
257,54,3,Corn
257,54,7,Taco Shell
257,54,8,Taco Salsa
257,54,9,Minced Meat
257,54,24,Lettuce
258,35,0,Banana
258,35,12,Pizza Kit
258,35,13,Pizza Cheese
258,35,15,Mozarella
258,35,28,Squid
259,90,0,Banana
259,90,4,Olives
259,90,21,Tomato
260,48,0,Banana
260,48,4,Olives
260,48,11,Prosciutto
260,48,14,Parmesan
261,87,0,Banana
261,87,22,Chicken
261,87,23,Croutons
261,87,24,Lettuce
262,73,0,Banana
262,73,16,Apple
263,67,0,Banana
263,67,19,Feta
263,67,20,Ruccola
263,67,21,Tomato
264,24,0,Banana
264,24,16,Apple
265,36,0,Banana
265,36,4,Olives
265,36,11,Prosciutto
265,36,14,Parmesan
265,36,22,Chicken
265,36,23,Croutons
265,36,26,Entrecote
267,40,25,Penne
267,40,26,Entrecote
267,40,27,Mushroom
268,72,0,Banana
268,72,1,Onion
268,72,3,Corn
268,72,9,Minced Meat
268,72,25,Penne
269,72,0,Banana
270,31,0,Banana
270,31,16,Apple
270,31,1,Onion
270,31,3,Corn
270,31,6,Taco Spice Mix
270,31,17,Taco Tortilla
272,43,0,Banana
272,43,10,Ham
272,43,12,Pizza Kit
272,43,13,Pizza Cheese
273,5,0,Banana
274,25,0,Banana
274,25,5,Pineapple
274,25,10,Ham
274,25,12,Pizza Kit
275,31,0,Banana
275,31,16,Apple
276,7,0,Banana
276,7,25,Penne
277,26,4,Olives
277,26,10,Ham
277,26,12,Pizza Kit
277,26,15,Mozarella
278,38,11,Prosciutto
278,38,12,Pizza Kit
278,38,14,Parmesan
278,38,15,Mozarella
279,63,0,Banana
279,63,23,Croutons
279,63,24,Lettuce
280,71,0,Banana
280,71,3,Corn
280,71,17,Taco Tortilla
280,71,25,Penne
280,71,27,Mushroom
281,41,16,Apple
281,41,20,Ruccola
281,41,21,Tomato
282,32,0,Banana
282,32,3,Corn
282,32,6,Taco Spice Mix
282,32,18,Taco Tubs
282,32,8,Taco Salsa
282,32,9,Minced Meat
283,54,0,Banana
283,54,3,Corn
283,54,6,Taco Spice Mix
283,54,18,Taco Tubs
283,54,8,Taco Salsa
283,54,9,Minced Meat
284,51,0,Banana
284,51,1,Onion
284,51,3,Corn
284,51,6,Taco Spice Mix
284,51,17,Taco Tortilla
284,51,8,Taco Salsa
284,51,9,Minced Meat
284,51,4,Olives
284,51,19,Feta
284,51,20,Ruccola
284,51,21,Tomato
285,20,0,Banana
286,3,0,Banana
286,3,26,Entrecote
287,48,0,Banana
288,84,0,Banana
288,84,4,Olives
288,84,11,Prosciutto
288,84,12,Pizza Kit
288,84,14,Parmesan
288,84,19,Feta
288,84,20,Ruccola
289,26,0,Banana
289,26,5,Pineapple
289,26,10,Ham
289,26,12,Pizza Kit
289,26,13,Pizza Cheese
289,26,15,Mozarella
290,89,0,Banana
291,4,0,Banana
292,53,0,Banana
292,53,5,Pineapple
292,53,10,Ham
292,53,12,Pizza Kit
292,53,13,Pizza Cheese
292,53,15,Mozarella
292,53,19,Feta
293,67,10,Ham
293,67,13,Pizza Cheese
293,67,19,Feta
293,67,20,Ruccola
294,79,4,Olives
294,79,11,Prosciutto
294,79,14,Parmesan
294,79,3,Corn
294,79,17,Taco Tortilla
294,79,8,Taco Salsa
294,79,9,Minced Meat
295,72,0,Banana
295,72,10,Ham
295,72,12,Pizza Kit
295,72,14,Parmesan
295,72,27,Mushroom
296,78,0,Banana
296,78,25,Penne
297,27,4,Olives
297,27,19,Feta
297,27,20,Ruccola
297,27,21,Tomato
299,11,4,Olives
299,11,11,Prosciutto
299,11,12,Pizza Kit
299,11,14,Parmesan
300,32,0,Banana
300,32,5,Pineapple
300,32,10,Ham
300,32,13,Pizza Cheese
301,35,0,Banana
301,35,16,Apple
301,35,4,Olives
301,35,11,Prosciutto
301,35,14,Parmesan
301,35,28,Squid
301,35,29,Crab stick
301,35,30,Shrimp
302,62,0,Banana
302,62,16,Apple
304,78,0,Banana
304,78,22,Chicken
305,6,23,Croutons
305,6,24,Lettuce
306,2,0,Banana
306,2,16,Apple
306,2,4,Olives
306,2,14,Parmesan
306,2,25,Penne
306,2,27,Mushroom
308,93,0,Banana
308,93,28,Squid
308,93,29,Crab stick
308,93,30,Shrimp
309,52,0,Banana
309,52,5,Pineapple
309,52,13,Pizza Cheese
309,52,1,Onion
309,52,3,Corn
309,52,6,Taco Spice Mix
309,52,8,Taco Salsa
309,52,9,Minced Meat
309,52,23,Croutons
310,65,0,Banana
311,86,0,Banana
311,86,23,Croutons
311,86,24,Lettuce
312,46,0,Banana
313,70,0,Banana
314,26,0,Banana
314,26,4,Olives
314,26,11,Prosciutto
314,26,12,Pizza Kit
314,26,14,Parmesan
315,70,0,Banana
316,67,0,Banana
316,67,19,Feta
316,67,20,Ruccola
316,67,21,Tomato
317,5,0,Banana
317,5,4,Olives
317,5,12,Pizza Kit
317,5,14,Parmesan
317,5,15,Mozarella
318,70,0,Banana
318,70,1,Onion
318,70,3,Corn
318,70,18,Taco Tubs
318,70,8,Taco Salsa
318,70,9,Minced Meat
319,30,0,Banana
320,10,0,Banana
320,10,5,Pineapple
320,10,10,Ham
320,10,12,Pizza Kit
320,10,13,Pizza Cheese
320,10,22,Chicken
321,2,0,Banana
322,49,0,Banana
322,49,10,Ham
323,82,0,Banana
324,19,0,Banana
325,41,0,Banana
326,46,0,Banana
326,46,1,Onion
326,46,3,Corn
326,46,8,Taco Salsa
327,20,16,Apple
328,37,0,Banana
329,69,16,Apple
329,69,1,Onion
329,69,3,Corn
329,69,6,Taco Spice Mix
329,69,17,Taco Tortilla
329,69,8,Taco Salsa
329,69,9,Minced Meat
329,69,23,Croutons
330,15,0,Banana
331,19,0,Banana
331,19,28,Squid
331,19,29,Crab stick
331,19,30,Shrimp
332,40,0,Banana
332,40,1,Onion
332,40,7,Taco Shell
332,40,8,Taco Salsa
332,40,9,Minced Meat
332,40,30,Shrimp
333,48,0,Banana
334,55,0,Banana
334,55,19,Feta
335,26,20,Ruccola
335,26,28,Squid
335,26,29,Crab stick
335,26,30,Shrimp
336,54,0,Banana
336,54,22,Chicken
336,54,24,Lettuce
337,73,16,Apple
337,73,4,Olives
337,73,21,Tomato
338,22,0,Banana
338,22,4,Olives
338,22,11,Prosciutto
338,22,12,Pizza Kit
338,22,14,Parmesan
338,22,23,Croutons
338,22,24,Lettuce
339,2,0,Banana
340,80,0,Banana
342,4,0,Banana
343,33,0,Banana
344,95,0,Banana
344,95,4,Olives
344,95,11,Prosciutto
344,95,12,Pizza Kit
344,95,14,Parmesan
344,95,15,Mozarella
346,80,0,Banana
346,80,26,Entrecote
347,78,0,Banana
347,78,4,Olives
347,78,20,Ruccola
347,78,21,Tomato
348,19,0,Banana
350,57,0,Banana
350,57,4,Olives
350,57,11,Prosciutto
350,57,12,Pizza Kit
350,57,14,Parmesan
350,57,15,Mozarella
350,57,25,Penne
350,57,27,Mushroom
351,34,0,Banana
351,34,28,Squid
351,34,30,Shrimp
352,74,0,Banana
352,74,4,Olives
352,74,19,Feta
352,74,20,Ruccola
353,78,0,Banana
354,13,0,Banana
354,13,22,Chicken
354,13,24,Lettuce
355,29,0,Banana
356,82,0,Banana
356,82,10,Ham
356,82,12,Pizza Kit
356,82,13,Pizza Cheese
356,82,1,Onion
356,82,3,Corn
356,82,18,Taco Tubs
356,82,8,Taco Salsa
357,21,0,Banana
358,81,0,Banana
358,81,19,Feta
358,81,20,Ruccola
358,81,21,Tomato
358,81,28,Squid
358,81,29,Crab stick
358,81,30,Shrimp
359,42,0,Banana
359,42,16,Apple
359,42,24,Lettuce
360,19,0,Banana
361,24,0,Banana
361,24,28,Squid
361,24,29,Crab stick
361,24,30,Shrimp
362,19,0,Banana
362,19,28,Squid
363,24,16,Apple
363,24,1,Onion
363,24,3,Corn
363,24,7,Taco Shell
363,24,8,Taco Salsa
363,24,9,Minced Meat
363,24,26,Entrecote
364,41,0,Banana
365,22,0,Banana
365,22,5,Pineapple
365,22,13,Pizza Cheese
366,68,0,Banana
366,68,20,Ruccola
366,68,21,Tomato
368,76,29,Crab stick
369,44,0,Banana
369,44,22,Chicken
369,44,23,Croutons
371,92,25,Penne
371,92,27,Mushroom
372,8,1,Onion
372,8,3,Corn
372,8,6,Taco Spice Mix
372,8,9,Minced Meat
373,36,0,Banana
373,36,5,Pineapple
373,36,12,Pizza Kit
373,36,28,Squid
373,36,30,Shrimp
374,7,0,Banana
375,27,0,Banana
375,27,1,Onion
375,27,3,Corn
375,27,6,Taco Spice Mix
375,27,17,Taco Tortilla
375,27,8,Taco Salsa
375,27,23,Croutons
375,27,24,Lettuce
376,28,0,Banana
377,8,0,Banana
378,42,0,Banana
378,42,5,Pineapple
378,42,10,Ham
378,42,13,Pizza Cheese
379,6,0,Banana
380,13,0,Banana
380,13,4,Olives
380,13,11,Prosciutto
380,13,12,Pizza Kit
380,13,14,Parmesan
381,26,0,Banana
382,14,16,Apple
382,14,11,Prosciutto
